Player ID,Player,Metric,grid_values
zzzzzzz,grid,SoT,50
zzzzzzz,grid,SoT,60
zzzzzzz,grid,SoT,70
zzzzzzz,grid,SoT,80
zzzzzzz,grid,SoT,90
zzzzzzz,grid,SoT,101
zzzzzzz,grid,Passes Cmp,10
zzzzzzz,grid,Passes Cmp,20
zzzzzzz,grid,Passes Cmp,30
zzzzzzz,grid,Passes Cmp,40
zzzzzzz,grid,Passes Cmp,50
zzzzzzz,grid,Passes Cmp,60
zzzzzzz,grid,Passes Cmp,70
zzzzzzz,grid,Passes Cmp,80
zzzzzzz,grid,Passes Cmp,90
zzzzzzz,grid,Passes Cmp,101
zzzzzzz,grid,Passes Att,10
zzzzzzz,grid,Passes Att,20
zzzzzzz,grid,Passes Att,30
zzzzzzz,grid,Passes Att,40
zzzzzzz,grid,Passes Att,50
zzzzzzz,grid,Passes Att,60
zzzzzzz,grid,Passes Att,70
zzzzzzz,grid,Passes Att,80
zzzzzzz,grid,Passes Att,90
zzzzzzz,grid,Passes Att,101
zzzzzzz,grid,Ast,10
zzzzzzz,grid,Ast,20
zzzzzzz,grid,Ast,30
zzzzzzz,grid,Ast,40
zzzzzzz,grid,Ast,50
zzzzzzz,grid,Ast,60
zzzzzzz,grid,Ast,70
zzzzzzz,grid,Ast,80
zzzzzzz,grid,Ast,90
zzzzzzz,grid,Ast,101
zzzzzzz,grid,xAG,10
zzzzzzz,grid,xAG,20
zzzzzzz,grid,xAG,30
zzzzzzz,grid,xAG,40
zzzzzzz,grid,xAG,50
zzzzzzz,grid,xAG,60
zzzzzzz,grid,xAG,70
zzzzzzz,grid,xAG,80
zzzzzzz,grid,xAG,90
zzzzzzz,grid,xAG,101
zzzzzzz,grid,A-xAG,10
zzzzzzz,grid,A-xAG,20
zzzzzzz,grid,A-xAG,30
zzzzzzz,grid,A-xAG,40
zzzzzzz,grid,A-xAG,50
zzzzzzz,grid,A-xAG,60
zzzzzzz,grid,A-xAG,70
zzzzzzz,grid,A-xAG,80
zzzzzzz,grid,A-xAG,90
zzzzzzz,grid,A-xAG,101
zzzzzzz,grid,Passes Final 3rd,10
zzzzzzz,grid,Passes Final 3rd,20
zzzzzzz,grid,Passes Final 3rd,30
zzzzzzz,grid,Passes Final 3rd,40
zzzzzzz,grid,Passes Final 3rd,50
zzzzzzz,grid,Passes Final 3rd,60
zzzzzzz,grid,Passes Final 3rd,70
zzzzzzz,grid,Passes Final 3rd,80
zzzzzzz,grid,Passes Final 3rd,90
zzzzzzz,grid,Passes Final 3rd,101
zzzzzzz,grid,Challenges Tkl,10
zzzzzzz,grid,Challenges Tkl,20
zzzzzzz,grid,Challenges Tkl,30
zzzzzzz,grid,Challenges Tkl,40
zzzzzzz,grid,Challenges Tkl,50
zzzzzzz,grid,Challenges Tkl,60
zzzzzzz,grid,Challenges Tkl,70
zzzzzzz,grid,Challenges Tkl,80
zzzzzzz,grid,Challenges Tkl,90
zzzzzzz,grid,Challenges Tkl,101
zzzzzzz,grid,Challenges Against Att,10
zzzzzzz,grid,Challenges Against Att,20
zzzzzzz,grid,Challenges Against Att,30
zzzzzzz,grid,Challenges Against Att,40
zzzzzzz,grid,Challenges Against Att,50
zzzzzzz,grid,Challenges Against Att,60
